,B0007
0,94.54457040505207
1,95.592568943472
2,95.97549149366897
3,96.13182488123128
4,96.29720290423028
5,96.16286923846981
6,96.23745121552933
7,96.44530610291449
8,96.78271443752618
9,96.81264596053202
10,96.87716657850387
11,97.13973086338434
12,93.8809710376113
13,97.20742935356584
14,97.9776243303847
15,97.41223939722175
16,97.540207453195
17,97.5113154576197
18,97.57136192223058
19,96.57416749639373
20,96.84056642807191
21,97.89913531802434
22,98.30903623259844
23,97.53650962245361
24,99.09226939759662
25,98.21582434145108
26,98.08397944023342
27,98.45722783140894
28,98.22722093738777
29,97.77142596032489
30,97.6605412179747
31,98.30030258909758
32,98.36692168442654
33,97.8678652200847
34,97.92915404233825
35,97.91782143316651
36,97.20402553206786
37,97.49198423265752
38,97.00596771879003
39,96.32370838423243
40,96.73682936611267
41,96.95709286284027
42,96.37702260237526
43,96.93067089131425
44,96.03324433439319
45,96.55243412496084
46,96.0836368475376
47,97.58996813355671
48,97.61377092425627
49,96.28725219629622
50,97.03899336717832
51,96.47927844369295
52,95.16021937982923
53,95.60065505100651
54,94.54982446563632
55,94.43742103471614
56,94.16813521799719
57,93.7908543682958
58,94.13492813021107
59,93.59670259399584
60,93.15948512153889
61,92.70491339279585
62,91.72885426862527
63,92.45299481831411
64,91.71876014333775
65,91.2686973183541
66,90.78346863857112
67,90.27488469847711
68,89.89051840983046
69,89.5472716104809
70,89.16899129682547
71,88.71549641445093
72,88.38933981026668
73,88.17683302177078
74,87.92709316111682
75,87.40096721005926
76,87.42001753977638
77,87.99414204998074
78,86.9903346994685
79,85.75390477364242
80,85.65868575192921
81,85.1340787216568
82,85.41615014846097
83,85.10104704875069
84,85.12845003678952
85,84.34233421669377
86,84.05935678454668
87,83.86681909831152
88,83.58451131861464
89,85.5697278105273
90,85.43099295771252
91,85.8783258461625
92,85.78978231036666
93,85.09134120012692
94,84.43410154657052
95,83.9851990126313
96,83.60651290362931
97,83.41820279649501
98,83.19896956424827
99,82.82941119385707
100,82.42981461147724
101,82.32204262920087
102,82.42736957832741
103,82.98402669787917
104,82.745415614824
105,82.93097226172017
106,82.47791031408565
107,81.71886244376503
108,81.63062129131295
109,81.7310803732718
110,81.27411402056258
111,80.88484611393287
112,80.54802637538054
113,80.68597046025894
114,80.39880725049329
115,80.3003724821514
116,79.79329144584213
117,79.5613908206927
118,79.74065232441043
119,81.39236138617422
120,81.8001142275136
121,81.56286897062793
122,81.08622623814873
123,80.55907137343034
124,79.91054266672191
125,79.74998562908014
126,79.39565572295326
127,79.01256935388086
128,78.57177478501504
129,78.64790242136125
130,78.41564613085562
131,77.83102156245889
132,79.15438714438876
133,79.29009467649242
134,78.77585872173393
135,78.82039018503403
136,77.82339798705651
137,77.92385623062363
138,77.86505303367728
139,77.59539340828806
140,77.29352436135005
141,76.8408374020952
142,76.50221763020937
143,76.71203943104878
144,76.11603343277989
145,75.74313398176334
146,75.20094517906101
147,75.1484452905463
148,75.00178925780367
149,75.00911472204064
150,76.60900254864171
151,75.74233418059059
152,76.85783618349718
153,76.19735665850678
154,75.82659606197751
155,75.00579972109784
156,75.00977578429631
157,74.88046887708587
158,74.21087871217993
159,74.24908594869241
160,74.0789147593064
161,74.05130399255954
162,73.58678502783313
163,73.53892393965243
164,73.34318648115816
165,73.27646793476721
166,75.41730836284027
167,76.96642842455636
