,Battery,RUL_actual,RUL_predicted
300,B0005,161.0,96.38466322994213
301,B0005,160.0,110.68444415182533
302,B0005,159.0,109.16361737766285
303,B0005,158.0,108.84865212792853
304,B0005,157.0,111.72928890465023
305,B0005,156.0,109.82054954064847
306,B0005,155.0,109.71117874618146
307,B0005,154.0,113.5248856548574
308,B0005,153.0,114.44822485168872
309,B0005,152.0,115.38446989069102
310,B0005,151.0,115.27548366166762
311,B0005,150.0,116.17189841788384
312,B0005,149.0,112.7133738462083
313,B0005,148.0,115.86429959956054
314,B0005,147.0,121.03369888697888
315,B0005,146.0,117.37556405065962
316,B0005,145.0,113.47250476757729
317,B0005,144.0,115.01222666009002
318,B0005,143.0,114.9297623837741
319,B0005,142.0,110.03517754638561
320,B0005,141.0,108.39158570497857
321,B0005,140.0,104.17548223761004
322,B0005,139.0,106.29670822668696
323,B0005,138.0,113.46253734330564
324,B0005,137.0,118.87660971630898
325,B0005,136.0,116.02156080557214
326,B0005,135.0,117.57954010374387
327,B0005,134.0,119.23699427644638
328,B0005,133.0,118.23580415161156
329,B0005,132.0,122.23687210787152
330,B0005,131.0,118.46093002888523
331,B0005,130.0,110.34155921113394
332,B0005,129.0,111.38065886714413
333,B0005,128.0,113.4290717242242
334,B0005,127.0,111.90330698689836
335,B0005,126.0,112.90220416750253
336,B0005,125.0,112.05143514092347
337,B0005,124.0,110.27791327348153
338,B0005,123.0,115.50485061726353
339,B0005,122.0,112.98857876775354
340,B0005,121.0,115.95019555864279
341,B0005,120.0,107.7969794294543
342,B0005,119.0,109.66803168497218
343,B0005,118.0,103.23339895836894
344,B0005,117.0,107.41832111472173
345,B0005,116.0,109.95894074517419
346,B0005,115.0,107.69154796272618
347,B0005,114.0,112.58063733316449
348,B0005,113.0,115.90151683341739
349,B0005,112.0,105.5891451238872
350,B0005,111.0,116.76256993308007
351,B0005,110.0,109.70284844981656
352,B0005,109.0,107.91394141977771
353,B0005,108.0,103.9630294330547
354,B0005,107.0,101.26039523244039
355,B0005,106.0,102.5126716990008
356,B0005,105.0,100.38322105846767
357,B0005,104.0,101.34275165644816
358,B0005,103.0,98.75305641884313
359,B0005,102.0,97.55161501594377
360,B0005,101.0,95.02742979751089
361,B0005,100.0,88.34144027574604
362,B0005,99.0,89.37127371228671
363,B0005,98.0,83.82816399715867
364,B0005,97.0,86.3846443097276
365,B0005,96.0,79.76513886345866
366,B0005,95.0,80.29908351441667
367,B0005,94.0,80.06477085525783
368,B0005,93.0,82.27071941204242
369,B0005,92.0,76.82242834527723
370,B0005,91.0,77.58839837312546
371,B0005,90.0,76.91257289180675
372,B0005,89.0,77.45264740200967
373,B0005,88.0,76.64822933758238
374,B0005,87.0,75.12058469553057
375,B0005,86.0,73.38329060565613
376,B0005,85.0,73.77119687828696
377,B0005,84.0,69.88808519804051
378,B0005,83.0,71.1448581474495
379,B0005,82.0,67.04702809732548
380,B0005,81.0,70.49408757465535
381,B0005,80.0,60.86326470994837
382,B0005,79.0,61.93520106905472
383,B0005,78.0,57.663855713798704
384,B0005,77.0,58.47845216979929
385,B0005,76.0,57.677732637134824
386,B0005,75.0,56.52283878664703
387,B0005,74.0,56.262513895135555
388,B0005,73.0,55.03389103149874
389,B0005,72.0,54.859719205977385
390,B0005,71.0,53.619171041227524
391,B0005,70.0,57.35536939416282
392,B0005,69.0,64.02697650793012
393,B0005,68.0,57.61040829138272
394,B0005,67.0,54.169788632667
395,B0005,66.0,52.768937836417706
396,B0005,65.0,51.05480658271195
397,B0005,64.0,52.13570672783898
398,B0005,63.0,52.32847339486561
399,B0005,62.0,51.661918885655275
400,B0005,61.0,50.07740936146202
401,B0005,60.0,48.72280549817455
402,B0005,59.0,45.928647639642634
403,B0005,58.0,50.142586074103264
404,B0005,57.0,46.58037319066649
405,B0005,56.0,50.88521934633087
406,B0005,55.0,45.664915087018166
407,B0005,54.0,42.94915208124995
408,B0005,53.0,36.79605605889273
409,B0005,52.0,37.53067880527904
410,B0005,51.0,39.50958221671912
411,B0005,50.0,34.90866575713805
412,B0005,49.0,31.19806532782461
413,B0005,48.0,35.25961814547338
414,B0005,47.0,31.344063237436245
415,B0005,46.0,38.8388009661105
416,B0005,45.0,34.38730250536547
417,B0005,44.0,31.21541224586487
418,B0005,43.0,32.21771060858477
419,B0005,42.0,28.931241879575268
420,B0005,41.0,27.63671332251263
421,B0005,40.0,34.070935677718545
422,B0005,39.0,28.94174494344862
423,B0005,38.0,31.623023819647987
424,B0005,37.0,31.092314981081053
425,B0005,36.0,29.90299051409141
426,B0005,35.0,29.581467214327418
427,B0005,34.0,29.254974093982298
428,B0005,33.0,28.374153911891163
429,B0005,32.0,27.403951092107768
430,B0005,31.0,27.00233000011368
431,B0005,30.0,26.463986224448448
432,B0005,29.0,28.80227074759542
433,B0005,28.0,30.44265735655985
434,B0005,27.0,31.946641006341373
435,B0005,26.0,25.211093964992877
436,B0005,25.0,26.134643938964444
437,B0005,24.0,25.110035497017666
438,B0005,23.0,25.20576372763542
439,B0005,22.0,24.72967776346812
440,B0005,21.0,21.15841536900114
441,B0005,20.0,20.312000835697397
442,B0005,19.0,18.804538547050004
443,B0005,18.0,21.746138374260784
444,B0005,17.0,20.372088822382416
445,B0005,16.0,19.835240441750244
446,B0005,15.0,18.767558602122673
447,B0005,14.0,18.48610311835991
448,B0005,13.0,19.192499693485495
449,B0005,12.0,20.02863870524456
450,B0005,11.0,20.487208266142282
451,B0005,10.0,21.180995173518248
452,B0005,9.0,21.89825058646136
453,B0005,8.0,19.056387075645087
454,B0005,7.0,19.647960512025968
455,B0005,6.0,19.397074578356964
456,B0005,5.0,19.861175484272124
457,B0005,4.0,18.927959133105546
458,B0005,3.0,19.4908753196939
459,B0005,2.0,21.938425300065088
460,B0005,1.0,21.977146639399308
461,B0005,0.0,21.936144623716665
462,B0005,0.0,22.2136501081346
463,B0005,0.0,22.64907064558418
464,B0005,0.0,22.31379271576536
465,B0005,0.0,23.64974317947636
466,B0005,0.0,25.181478247899488
467,B0005,0.0,27.449305914573948
