,Cycle,True_RUL,Predicted_RUL,Battery
300,1,101,136.82,B0006
301,2,100,146.69,B0006
302,3,99,145.31,B0006
303,4,98,145.17,B0006
304,5,97,145.04,B0006
305,6,96,147.35,B0006
306,7,95,147.35,B0006
307,8,94,146.69,B0006
308,9,93,146.56,B0006
309,10,92,147.23,B0006
310,11,91,146.95,B0006
311,12,90,147.0,B0006
312,13,89,131.73,B0006
313,14,88,146.2,B0006
314,15,87,141.76,B0006
315,16,86,137.83,B0006
316,17,85,140.14,B0006
317,18,84,138.56,B0006
318,19,83,133.44,B0006
319,20,82,135.33,B0006
320,21,81,129.49,B0006
321,22,80,138.74,B0006
322,23,79,139.43,B0006
323,24,78,140.03,B0006
324,25,77,136.28,B0006
325,26,76,138.54,B0006
326,27,75,141.13,B0006
327,28,74,130.93,B0006
328,29,73,129.76,B0006
329,30,72,127.63,B0006
330,31,71,125.71,B0006
331,32,70,124.45,B0006
332,33,69,141.08,B0006
333,34,68,142.15,B0006
334,35,67,124.75,B0006
335,36,66,119.65,B0006
336,37,65,113.86,B0006
337,38,64,98.48,B0006
338,39,63,96.15,B0006
339,40,62,95.46,B0006
340,41,61,94.9,B0006
341,42,60,91.64,B0006
342,43,59,93.78,B0006
343,44,58,91.97,B0006
344,45,57,90.83,B0006
345,46,56,83.91,B0006
346,47,55,80.91,B0006
347,48,54,102.37,B0006
348,49,53,95.03,B0006
349,50,52,91.03,B0006
350,51,51,98.85,B0006
351,52,50,88.11,B0006
352,53,49,85.45,B0006
353,54,48,81.26,B0006
354,55,47,77.79,B0006
355,56,46,77.36,B0006
356,57,45,74.1,B0006
357,58,44,67.66,B0006
358,59,43,67.19,B0006
359,60,42,60.23,B0006
360,61,41,57.51,B0006
361,62,40,44.6,B0006
362,63,39,42.09,B0006
363,64,38,45.55,B0006
364,65,37,41.47,B0006
365,66,36,28.17,B0006
366,67,35,25.47,B0006
367,68,34,19.07,B0006
368,69,33,17.12,B0006
369,70,32,15.78,B0006
370,71,31,13.16,B0006
371,72,30,11.83,B0006
372,73,29,11.43,B0006
373,74,28,10.89,B0006
374,75,27,10.58,B0006
375,76,26,12.15,B0006
376,77,25,12.83,B0006
377,78,24,12.7,B0006
378,79,23,11.71,B0006
379,80,22,12.48,B0006
380,81,21,11.89,B0006
381,82,20,11.81,B0006
382,83,19,12.57,B0006
383,84,18,13.4,B0006
384,85,17,13.14,B0006
385,86,16,8.95,B0006
386,87,15,9.43,B0006
387,88,14,8.75,B0006
388,89,13,7.59,B0006
389,90,12,9.25,B0006
390,91,11,8.81,B0006
391,92,10,14.01,B0006
392,93,9,11.92,B0006
393,94,8,12.04,B0006
394,95,7,11.92,B0006
395,96,6,11.93,B0006
396,97,5,11.42,B0006
397,98,4,10.65,B0006
398,99,3,9.98,B0006
399,100,2,9.46,B0006
400,101,1,8.48,B0006
401,102,0,8.52,B0006
402,103,0,2.03,B0006
403,104,0,7.65,B0006
404,105,0,7.56,B0006
405,106,0,8.29,B0006
406,107,0,6.47,B0006
407,108,0,4.01,B0006
408,109,0,5.2,B0006
409,110,0,5.58,B0006
410,111,0,4.73,B0006
411,112,0,0.6,B0006
412,113,0,1.45,B0006
413,114,0,2.46,B0006
414,115,0,2.86,B0006
415,116,0,1.42,B0006
416,117,0,1.02,B0006
417,118,0,1.65,B0006
418,119,0,1.68,B0006
419,120,0,7.46,B0006
420,121,0,5.79,B0006
421,122,0,6.64,B0006
422,123,0,1.81,B0006
423,124,0,0.71,B0006
424,125,0,1.66,B0006
425,126,0,1.72,B0006
426,127,0,1.65,B0006
427,128,0,1.65,B0006
428,129,0,1.44,B0006
429,130,0,1.65,B0006
430,131,0,1.72,B0006
431,132,0,1.72,B0006
432,133,0,4.98,B0006
433,134,0,6.35,B0006
434,135,0,8.45,B0006
435,136,0,5.6,B0006
436,137,0,6.98,B0006
437,138,0,7.42,B0006
438,139,0,8.4,B0006
439,140,0,8.5,B0006
440,141,0,6.75,B0006
441,142,0,6.78,B0006
442,143,0,6.85,B0006
443,144,0,8.5,B0006
444,145,0,8.65,B0006
445,146,0,7.09,B0006
446,147,0,5.72,B0006
447,148,0,6.71,B0006
448,149,0,8.41,B0006
449,150,0,6.23,B0006
450,151,0,3.3,B0006
451,152,0,3.46,B0006
452,153,0,1.77,B0006
453,154,0,1.65,B0006
454,155,0,1.77,B0006
455,156,0,1.77,B0006
456,157,0,1.77,B0006
457,158,0,1.61,B0006
458,159,0,1.6,B0006
459,160,0,1.6,B0006
460,161,0,2.0,B0006
461,162,0,2.0,B0006
462,163,0,2.02,B0006
463,164,0,1.63,B0006
464,165,0,2.02,B0006
465,166,0,3.1,B0006
466,167,0,8.49,B0006
467,168,0,7.29,B0006
