,Battery,RUL_actual,RUL_predicted
300,B0006,101.0,136.71714953414488
301,B0006,100.0,131.65909016560903
302,B0006,99.0,124.35717027083673
303,B0006,98.0,125.69032400848371
304,B0006,97.0,129.01903253638636
305,B0006,96.0,123.19510330591179
306,B0006,95.0,127.05651306451028
307,B0006,94.0,129.3064972825518
308,B0006,93.0,131.35253759094485
309,B0006,92.0,135.92545726784007
310,B0006,91.0,132.4542467467428
311,B0006,90.0,135.65438293524653
312,B0006,89.0,113.21803553514424
313,B0006,88.0,139.11431756087146
314,B0006,87.0,142.71899913496748
315,B0006,86.0,146.2076070229091
316,B0006,85.0,144.46193444981284
317,B0006,84.0,143.06793760452484
318,B0006,83.0,139.61123390986256
319,B0006,82.0,129.49931770572633
320,B0006,81.0,133.43351983096264
321,B0006,80.0,117.62349657114436
322,B0006,79.0,124.12693510356272
323,B0006,78.0,129.6057743377727
324,B0006,77.0,133.07478318827583
325,B0006,76.0,135.36609995921955
326,B0006,75.0,133.0428571661922
327,B0006,74.0,135.48590796288767
328,B0006,73.0,133.82582751747358
329,B0006,72.0,134.37041283557326
330,B0006,71.0,129.17392220426586
331,B0006,70.0,130.51457637481607
332,B0006,69.0,127.06610521736565
333,B0006,68.0,123.99477725988703
334,B0006,67.0,131.7824669242924
335,B0006,66.0,124.02395305016627
336,B0006,65.0,118.99224097259707
337,B0006,64.0,112.64211810320016
338,B0006,63.0,105.51863906322345
339,B0006,62.0,103.09108946691572
340,B0006,61.0,99.39068398638915
341,B0006,60.0,99.32854373274486
342,B0006,59.0,97.53810719655844
343,B0006,58.0,95.84944175857325
344,B0006,57.0,89.577365952608
345,B0006,56.0,94.70812383482865
346,B0006,55.0,92.90480377239541
347,B0006,54.0,102.56084636822821
348,B0006,53.0,101.73545359538895
349,B0006,52.0,92.32737568543546
350,B0006,51.0,104.24352329825169
351,B0006,50.0,96.32937038672078
352,B0006,49.0,99.04340464283219
353,B0006,48.0,93.91471792106162
354,B0006,47.0,90.11206684967016
355,B0006,46.0,83.60883971880833
356,B0006,45.0,80.32826336596467
357,B0006,44.0,74.2208188301581
358,B0006,43.0,72.54326903637494
359,B0006,42.0,60.7638938221701
360,B0006,41.0,50.44079716964239
361,B0006,40.0,45.451892283533894
362,B0006,39.0,38.41140192066043
363,B0006,38.0,63.63009692011301
364,B0006,37.0,57.790034016542016
365,B0006,36.0,47.552023750338805
366,B0006,35.0,39.752512721168515
367,B0006,34.0,36.80006115543098
368,B0006,33.0,34.77004885976425
369,B0006,32.0,30.005478556898915
370,B0006,31.0,28.235174276062104
371,B0006,30.0,29.934922724529386
372,B0006,29.0,28.87683430367364
373,B0006,28.0,26.691033172555073
