,Cycle,True_RUL,Predicted_RUL,Battery
300,1,101,142.30751,B0006
301,2,100,143.93585,B0006
302,3,99,146.18767,B0006
303,4,98,144.80946,B0006
304,5,97,143.85365,B0006
305,6,96,148.45213,B0006
306,7,95,149.44937,B0006
307,8,94,147.56538,B0006
308,9,93,147.56538,B0006
309,10,92,146.43716,B0006
310,11,91,145.8042,B0006
311,12,90,147.32484,B0006
312,13,89,137.5854,B0006
313,14,88,145.17245,B0006
314,15,87,141.17181,B0006
315,16,86,136.89452,B0006
316,17,85,138.20033,B0006
317,18,84,139.40564,B0006
318,19,83,128.83777,B0006
319,20,82,133.94751,B0006
320,21,81,125.51081,B0006
321,22,80,141.70013,B0006
322,23,79,140.46558,B0006
323,24,78,141.89902,B0006
324,25,77,136.55597,B0006
325,26,76,142.07022,B0006
326,27,75,140.5006,B0006
327,28,74,129.8807,B0006
328,29,73,133.71132,B0006
329,30,72,128.14307,B0006
330,31,71,130.54024,B0006
331,32,70,126.86042,B0006
332,33,69,145.96916,B0006
333,34,68,147.19638,B0006
334,35,67,123.69411,B0006
335,36,66,120.756516,B0006
336,37,65,119.447205,B0006
337,38,64,101.899155,B0006
338,39,63,97.811905,B0006
339,40,62,99.09549,B0006
340,41,61,99.25299,B0006
341,42,60,89.66388,B0006
342,43,59,90.40468,B0006
343,44,58,93.43,B0006
344,45,57,93.06737,B0006
345,46,56,86.36976,B0006
346,47,55,81.18523,B0006
347,48,54,93.950386,B0006
348,49,53,90.75212,B0006
349,50,52,91.19801,B0006
350,51,51,98.13058,B0006
351,52,50,88.47444,B0006
352,53,49,85.21392,B0006
353,54,48,81.38119,B0006
354,55,47,77.80496,B0006
355,56,46,77.223495,B0006
356,57,45,76.946205,B0006
357,58,44,70.2146,B0006
358,59,43,68.67161,B0006
359,60,42,64.59901,B0006
360,61,41,62.06258,B0006
361,62,40,47.69798,B0006
362,63,39,45.631264,B0006
363,64,38,34.514107,B0006
364,65,37,36.491898,B0006
365,66,36,23.26851,B0006
366,67,35,19.130585,B0006
367,68,34,10.772423,B0006
368,69,33,10.170205,B0006
369,70,32,10.52885,B0006
370,71,31,11.182088,B0006
371,72,30,7.932925,B0006
372,73,29,8.175324,B0006
373,74,28,3.7684312,B0006
374,75,27,5.6671195,B0006
375,76,26,4.5225096,B0006
376,77,25,7.5052195,B0006
377,78,24,8.317148,B0006
378,79,23,8.208848,B0006
379,80,22,7.7483997,B0006
380,81,21,6.325022,B0006
381,82,20,6.760432,B0006
382,83,19,6.5848284,B0006
383,84,18,7.326456,B0006
384,85,17,7.4365497,B0006
385,86,16,3.4814172,B0006
386,87,15,4.9336524,B0006
387,88,14,4.7190228,B0006
388,89,13,0.91605824,B0006
389,90,12,5.451503,B0006
390,91,11,4.005304,B0006
391,92,10,9.483921,B0006
392,93,9,7.742859,B0006
393,94,8,8.441222,B0006
394,95,7,8.090989,B0006
395,96,6,8.188215,B0006
396,97,5,6.1242447,B0006
397,98,4,9.191955,B0006
398,99,3,6.6385365,B0006
399,100,2,4.490624,B0006
400,101,1,3.2428825,B0006
401,102,0,1.7290725,B0006
402,103,0,-1.1734697,B0006
403,104,0,2.5083926,B0006
404,105,0,4.5128236,B0006
405,106,0,1.6665753,B0006
406,107,0,0.13689582,B0006
407,108,0,-1.7214371,B0006
408,109,0,-1.1770918,B0006
409,110,0,-1.0372266,B0006
410,111,0,1.4660623,B0006
411,112,0,-3.7205133,B0006
412,113,0,-2.720585,B0006
413,114,0,-0.22839597,B0006
414,115,0,-1.8890426,B0006
415,116,0,-2.720585,B0006
416,117,0,-3.544834,B0006
417,118,0,-1.7134178,B0006
418,119,0,-0.35769233,B0006
419,120,0,1.7559186,B0006
420,121,0,-0.05672973,B0006
421,122,0,1.2294097,B0006
422,123,0,-2.5791543,B0006
423,124,0,-3.7834592,B0006
424,125,0,-1.8676125,B0006
425,126,0,-1.5939391,B0006
426,127,0,-1.9463643,B0006
427,128,0,-1.9463643,B0006
428,129,0,-2.4135315,B0006
429,130,0,-2.4135315,B0006
430,131,0,-1.5939391,B0006
431,132,0,-1.5939391,B0006
432,133,0,-1.5483576,B0006
433,134,0,1.3525478,B0006
434,135,0,5.0127463,B0006
435,136,0,0.49069127,B0006
436,137,0,1.6702298,B0006
437,138,0,3.347125,B0006
438,139,0,3.2465324,B0006
439,140,0,4.0775895,B0006
440,141,0,1.4015872,B0006
441,142,0,1.6806662,B0006
442,143,0,1.4119709,B0006
443,144,0,3.7762644,B0006
444,145,0,4.063266,B0006
445,146,0,1.4876213,B0006
446,147,0,0.13746116,B0006
447,148,0,0.30780664,B0006
448,149,0,3.4297388,B0006
449,150,0,0.9966444,B0006
450,151,0,0.36749116,B0006
451,152,0,1.4013069,B0006
452,153,0,-0.7699799,B0006
453,154,0,-1.9463643,B0006
454,155,0,-1.4526219,B0006
455,156,0,-0.7699799,B0006
456,157,0,-0.7849461,B0006
457,158,0,-2.1043313,B0006
458,159,0,-0.45037383,B0006
459,160,0,-2.2161562,B0006
460,161,0,-2.0970032,B0006
461,162,0,-2.0970032,B0006
462,163,0,-0.7819637,B0006
463,164,0,-2.3139575,B0006
464,165,0,-0.66170675,B0006
465,166,0,-0.6702809,B0006
466,167,0,2.558057,B0006
467,168,0,2.1684325,B0006
