,Battery,RUL_actual,RUL_predicted
0,B0018,132.0,119.11545209554427
1,B0018,131.0,126.82859244004162
2,B0018,130.0,129.90088623517465
3,B0018,129.0,128.9074433931856
4,B0018,128.0,126.76661959621657
5,B0018,127.0,116.75915308737393
6,B0018,126.0,113.12952595188202
7,B0018,125.0,118.37625288691406
8,B0018,124.0,117.56895020535389
9,B0018,123.0,116.43103736111642
10,B0018,122.0,125.25275291809149
11,B0018,121.0,119.40487951271044
12,B0018,120.0,113.55184689453421
13,B0018,119.0,119.30158580166422
14,B0018,118.0,104.29872114753296
15,B0018,117.0,116.65947833682927
16,B0018,116.0,119.92909005594865
17,B0018,115.0,116.41280114586841
18,B0018,114.0,104.73969510009262
19,B0018,113.0,93.91456215820027
20,B0018,112.0,103.36668521000973
21,B0018,111.0,99.9673115802787
22,B0018,110.0,94.50595002467766
23,B0018,109.0,89.98999008638647
24,B0018,108.0,82.84910890125236
25,B0018,107.0,114.96888057086869
26,B0018,106.0,108.76344681664747
27,B0018,105.0,104.49357828937235
28,B0018,104.0,94.38716209227516
29,B0018,103.0,82.80406639829751
30,B0018,102.0,89.54264864443533
31,B0018,101.0,82.16986963118936
32,B0018,100.0,90.69108493087555
33,B0018,99.0,76.63413269652213
34,B0018,98.0,80.55921646525685
35,B0018,97.0,74.40340572479613
36,B0018,96.0,71.09971004860513
37,B0018,95.0,75.45331439112306
38,B0018,94.0,69.85839197290565
39,B0018,93.0,83.42765089913112
40,B0018,92.0,75.19774778049005
41,B0018,91.0,74.04241204216522
42,B0018,90.0,66.72057233422635
43,B0018,89.0,61.5760633147614
44,B0018,88.0,71.8924876866005
45,B0018,87.0,96.70187104619424
46,B0018,86.0,113.80159244139584
47,B0018,85.0,110.13526849259918
48,B0018,84.0,96.18398418249421
49,B0018,83.0,84.86085857434574
50,B0018,82.0,85.32736018115872
51,B0018,81.0,80.61387270813891
52,B0018,80.0,82.08245130572428
53,B0018,79.0,76.49552395341198
54,B0018,78.0,73.88876936038751
55,B0018,77.0,72.4094471302593
56,B0018,76.0,77.98290633781156
57,B0018,75.0,78.22936056200422
58,B0018,74.0,74.240725777216
59,B0018,73.0,67.78639948217172
60,B0018,72.0,61.79596767772784
61,B0018,71.0,61.78844011440212
62,B0018,70.0,67.02325383054873
63,B0018,69.0,61.73801862141997
64,B0018,68.0,54.37475117160349
65,B0018,67.0,57.521615901681756
66,B0018,66.0,52.20127605389652
67,B0018,65.0,63.42905926420541
68,B0018,64.0,49.64687318803594
69,B0018,63.0,45.86193549671823
70,B0018,62.0,46.99146217697404
71,B0018,61.0,44.1748281722518
72,B0018,60.0,58.343933815935756
73,B0018,59.0,51.27858612304942
74,B0018,58.0,46.23799736062149
75,B0018,57.0,44.129833386822575
76,B0018,56.0,38.68194203622051
77,B0018,55.0,48.34565505047297
78,B0018,54.0,35.31230334316714
79,B0018,53.0,33.50584766825871
80,B0018,52.0,31.793533036871576
81,B0018,51.0,28.7543001104819
82,B0018,50.0,34.83489463786762
83,B0018,49.0,26.26499795558523
84,B0018,48.0,26.961511294761188
85,B0018,47.0,27.01668140168517
86,B0018,46.0,25.399169736870867
87,B0018,45.0,41.16408883467755
88,B0018,44.0,27.597296382302186
89,B0018,43.0,24.660372369780283
90,B0018,42.0,23.914568005226492
91,B0018,41.0,19.66674411032458
92,B0018,40.0,37.301867976523454
93,B0018,39.0,24.034961558899937
94,B0018,38.0,19.782546593589984
95,B0018,37.0,21.749428207115596
96,B0018,36.0,16.99061543339525
97,B0018,35.0,29.062878536621778
98,B0018,34.0,23.775783488157177
99,B0018,33.0,21.093545026924392
100,B0018,32.0,20.118335932846627
101,B0018,31.0,17.51676952192088
102,B0018,30.0,29.472237127795857
103,B0018,29.0,19.708551510592205
104,B0018,28.0,15.231434617157634
105,B0018,27.0,20.434946334853255
106,B0018,26.0,19.85436154025485
107,B0018,25.0,38.4519354857044
108,B0018,24.0,32.714504154176964
109,B0018,23.0,29.383667542361646
110,B0018,22.0,23.59193817117458
111,B0018,21.0,20.67492094051888
112,B0018,20.0,30.26760039192905
113,B0018,19.0,21.999371929077153
114,B0018,18.0,25.518737983972006
115,B0018,17.0,19.801810042913953
116,B0018,16.0,17.519349772548725
117,B0018,15.0,27.101316446387838
118,B0018,14.0,18.78163823500397
119,B0018,13.0,13.01449121215778
120,B0018,12.0,16.291355029508072
121,B0018,11.0,15.203443456412073
122,B0018,10.0,30.813466428698753
123,B0018,9.0,21.22345328929286
124,B0018,8.0,17.305053434350974
125,B0018,7.0,15.506957478753314
126,B0018,6.0,19.852068486822382
127,B0018,5.0,27.072905961485922
128,B0018,4.0,19.639268594177118
129,B0018,3.0,20.38928070190262
130,B0018,2.0,16.47572634945845
131,B0018,1.0,18.91897181191239
