,Cycle,True_RUL,Predicted_RUL,Battery
0,1,132,97.74,B0018
1,2,131,79.22,B0018
2,3,130,84.62,B0018
3,4,129,83.16,B0018
4,5,128,79.43,B0018
5,6,127,90.39,B0018
6,7,126,90.58,B0018
7,8,125,90.06,B0018
8,9,124,90.53,B0018
9,10,123,86.08,B0018
10,11,122,90.14,B0018
11,12,121,89.28,B0018
12,13,120,90.34,B0018
13,14,119,91.61,B0018
14,15,118,94.41,B0018
15,16,117,93.33,B0018
16,17,116,91.3,B0018
17,18,115,91.18,B0018
18,19,114,92.85,B0018
19,20,113,81.7,B0018
20,21,112,89.2,B0018
21,22,111,81.33,B0018
22,23,110,83.46,B0018
23,24,109,81.5,B0018
24,25,108,75.95,B0018
25,26,107,97.42,B0018
26,27,106,95.13,B0018
27,28,105,86.26,B0018
28,29,104,83.47,B0018
29,30,103,65.66,B0018
30,31,102,79.94,B0018
31,32,101,82.02,B0018
32,33,100,78.3,B0018
33,34,99,71.92,B0018
34,35,98,60.91,B0018
35,36,97,71.45,B0018
36,37,96,70.76,B0018
37,38,95,73.61,B0018
38,39,94,68.84,B0018
39,40,93,66.33,B0018
40,41,92,69.34,B0018
41,42,91,69.49,B0018
42,43,90,68.85,B0018
43,44,89,59.34,B0018
44,45,88,54.37,B0018
45,46,87,74.19,B0018
46,47,86,81.78,B0018
47,48,85,80.46,B0018
48,49,84,79.08,B0018
49,50,83,71.26,B0018
50,51,82,73.03,B0018
51,52,81,58.77,B0018
52,53,80,66.12,B0018
53,54,79,68.87,B0018
54,55,78,66.12,B0018
55,56,77,69.85,B0018
56,57,76,61.59,B0018
57,58,75,66.84,B0018
58,59,74,63.26,B0018
59,60,73,56.91,B0018
60,61,72,55.74,B0018
61,62,71,55.76,B0018
62,63,70,51.28,B0018
63,64,69,49.22,B0018
64,65,68,48.08,B0018
65,66,67,48.65,B0018
66,67,66,45.78,B0018
67,68,65,43.66,B0018
68,69,64,42.73,B0018
69,70,63,40.73,B0018
70,71,62,46.33,B0018
71,72,61,42.28,B0018
72,73,60,40.02,B0018
73,74,59,43.15,B0018
74,75,58,40.77,B0018
75,76,57,39.72,B0018
76,77,56,38.26,B0018
77,78,55,34.87,B0018
78,79,54,36.96,B0018
79,80,53,33.12,B0018
80,81,52,34.36,B0018
81,82,51,32.84,B0018
82,83,50,31.82,B0018
83,84,49,29.33,B0018
84,85,48,28.33,B0018
85,86,47,28.88,B0018
86,87,46,28.15,B0018
87,88,45,24.68,B0018
88,89,44,31.83,B0018
89,90,43,30.66,B0018
90,91,42,28.72,B0018
91,92,41,26.42,B0018
92,93,40,24.0,B0018
93,94,39,29.5,B0018
94,95,38,28.2,B0018
95,96,37,25.44,B0018
96,97,36,21.63,B0018
97,98,35,23.35,B0018
98,99,34,21.97,B0018
99,100,33,19.02,B0018
100,101,32,16.64,B0018
101,102,31,18.68,B0018
102,103,30,24.65,B0018
103,104,29,17.47,B0018
104,105,28,18.15,B0018
105,106,27,19.31,B0018
106,107,26,19.08,B0018
107,108,25,22.41,B0018
108,109,24,33.9,B0018
109,110,23,31.67,B0018
110,111,22,31.54,B0018
111,112,21,28.06,B0018
112,113,20,26.43,B0018
113,114,19,26.2,B0018
114,115,18,25.43,B0018
115,116,17,22.6,B0018
116,117,16,22.94,B0018
117,118,15,26.14,B0018
118,119,14,18.44,B0018
119,120,13,18.36,B0018
120,121,12,17.96,B0018
121,122,11,21.19,B0018
122,123,10,18.18,B0018
123,124,9,28.88,B0018
124,125,8,22.91,B0018
125,126,7,22.66,B0018
126,127,6,19.72,B0018
127,128,5,27.41,B0018
128,129,4,20.11,B0018
129,130,3,19.75,B0018
130,131,2,19.3,B0018
131,132,1,19.64,B0018
