,Cycle,True_RUL,Predicted_RUL,Battery
0,1,132,96.48703,B0018
1,2,131,83.88618,B0018
2,3,130,90.133156,B0018
3,4,129,86.881065,B0018
4,5,128,84.645775,B0018
5,6,127,82.40158,B0018
6,7,126,81.796814,B0018
7,8,125,84.91388,B0018
8,9,124,82.76265,B0018
9,10,123,89.28667,B0018
10,11,122,87.702194,B0018
11,12,121,83.39169,B0018
12,13,120,79.88588,B0018
13,14,119,80.45053,B0018
14,15,118,91.555115,B0018
15,16,117,85.15044,B0018
16,17,116,80.01398,B0018
17,18,115,84.100876,B0018
18,19,114,88.44833,B0018
19,20,113,79.02787,B0018
20,21,112,87.055954,B0018
21,22,111,81.544846,B0018
22,23,110,79.05371,B0018
23,24,109,79.80106,B0018
24,25,108,68.58119,B0018
25,26,107,97.07908,B0018
26,27,106,93.49856,B0018
27,28,105,84.55327,B0018
28,29,104,79.77469,B0018
29,30,103,56.471085,B0018
30,31,102,73.716774,B0018
31,32,101,78.01467,B0018
32,33,100,73.263245,B0018
33,34,99,75.2776,B0018
34,35,98,57.051083,B0018
35,36,97,78.7384,B0018
36,37,96,75.78261,B0018
37,38,95,74.77647,B0018
38,39,94,71.50649,B0018
39,40,93,66.018715,B0018
40,41,92,74.002144,B0018
41,42,91,75.25987,B0018
42,43,90,73.16498,B0018
43,44,89,64.99584,B0018
44,45,88,48.575684,B0018
45,46,87,66.46446,B0018
46,47,86,77.00876,B0018
47,48,85,74.68196,B0018
48,49,84,74.20875,B0018
49,50,83,71.97861,B0018
50,51,82,70.68855,B0018
51,52,81,53.968994,B0018
52,53,80,68.69178,B0018
53,54,79,68.71388,B0018
54,55,78,66.58692,B0018
55,56,77,71.335754,B0018
56,57,76,57.706596,B0018
57,58,75,68.63415,B0018
58,59,74,61.771103,B0018
59,60,73,63.87593,B0018
60,61,72,60.81333,B0018
61,62,71,59.969414,B0018
62,63,70,43.568348,B0018
63,64,69,53.956203,B0018
64,65,68,51.3897,B0018
65,66,67,50.986145,B0018
66,67,66,49.31212,B0018
67,68,65,38.235977,B0018
68,69,64,42.685753,B0018
69,70,63,41.83829,B0018
70,71,62,46.721607,B0018
71,72,61,47.033947,B0018
72,73,60,35.84731,B0018
73,74,59,42.073807,B0018
74,75,58,42.17849,B0018
75,76,57,41.355946,B0018
76,77,56,41.222866,B0018
77,78,55,33.795635,B0018
78,79,54,41.022488,B0018
79,80,53,33.919765,B0018
80,81,52,33.796688,B0018
81,82,51,31.584951,B0018
82,83,50,29.684216,B0018
83,84,49,31.413946,B0018
84,85,48,32.249554,B0018
85,86,47,34.03618,B0018
86,87,46,31.989658,B0018
87,88,45,22.607708,B0018
88,89,44,33.83845,B0018
89,90,43,31.889688,B0018
90,91,42,32.765255,B0018
91,92,41,30.195187,B0018
92,93,40,20.266638,B0018
93,94,39,30.545103,B0018
94,95,38,34.1229,B0018
95,96,37,26.48066,B0018
96,97,36,24.008602,B0018
97,98,35,26.856306,B0018
98,99,34,23.16993,B0018
99,100,33,18.988186,B0018
100,101,32,19.53916,B0018
101,102,31,20.620173,B0018
102,103,30,24.354834,B0018
103,104,29,20.771748,B0018
104,105,28,18.011002,B0018
105,106,27,21.877928,B0018
106,107,26,21.952534,B0018
107,108,25,19.46717,B0018
108,109,24,34.515224,B0018
109,110,23,32.05035,B0018
110,111,22,30.899042,B0018
111,112,21,33.614166,B0018
112,113,20,26.543926,B0018
113,114,19,22.620794,B0018
114,115,18,23.709032,B0018
115,116,17,24.20446,B0018
116,117,16,23.038223,B0018
117,118,15,23.699265,B0018
118,119,14,14.294073,B0018
119,120,13,18.05977,B0018
120,121,12,19.969034,B0018
121,122,11,21.350359,B0018
122,123,10,15.29276,B0018
123,124,9,34.287395,B0018
124,125,8,25.613361,B0018
125,126,7,23.972923,B0018
126,127,6,19.525848,B0018
127,128,5,27.39533,B0018
128,129,4,21.703901,B0018
129,130,3,20.922813,B0018
130,131,2,19.771557,B0018
131,132,1,17.744213,B0018
