,Cycle,True_RUL,Predicted_RUL,Battery
468,1,161,115.06,B0005
469,2,160,117.12,B0005
470,3,159,115.89,B0005
471,4,158,116.6,B0005
472,5,157,115.8,B0005
473,6,156,117.56,B0005
474,7,155,116.33,B0005
475,8,154,111.23,B0005
476,9,153,114.4,B0005
477,10,152,113.29,B0005
478,11,151,111.48,B0005
479,12,150,116.72,B0005
480,13,149,105.85,B0005
481,14,148,118.16,B0005
482,15,147,112.91,B0005
483,16,146,118.8,B0005
484,17,145,122.48,B0005
485,18,144,121.56,B0005
486,19,143,116.32,B0005
487,20,142,116.66,B0005
488,21,141,120.49,B0005
489,22,140,113.75,B0005
490,23,139,109.36,B0005
491,24,138,103.22,B0005
492,25,137,109.79,B0005
493,26,136,110.84,B0005
494,27,135,119.58,B0005
495,28,134,123.48,B0005
496,29,133,107.02,B0005
497,30,132,120.73,B0005
498,31,131,120.79,B0005
499,32,130,108.57,B0005
500,33,129,114.97,B0005
501,34,128,117.28,B0005
502,35,127,116.62,B0005
503,36,126,122.79,B0005
504,37,125,122.64,B0005
505,38,124,116.4,B0005
506,39,123,114.75,B0005
507,40,122,106.7,B0005
508,41,121,109.43,B0005
509,42,120,108.78,B0005
510,43,119,108.51,B0005
511,44,118,107.2,B0005
512,45,117,105.92,B0005
513,46,116,108.16,B0005
514,47,115,107.41,B0005
515,48,114,111.32,B0005
516,49,113,109.47,B0005
517,50,112,108.5,B0005
518,51,111,117.18,B0005
519,52,110,113.66,B0005
520,53,109,107.42,B0005
521,54,108,105.09,B0005
522,55,107,102.78,B0005
523,56,106,103.3,B0005
524,57,105,99.5,B0005
525,58,104,98.43,B0005
526,59,103,99.75,B0005
527,60,102,91.85,B0005
528,61,101,90.97,B0005
529,62,100,81.23,B0005
530,63,99,86.69,B0005
531,64,98,85.91,B0005
532,65,97,79.8,B0005
533,66,96,79.55,B0005
534,67,95,89.89,B0005
535,68,94,88.69,B0005
536,69,93,84.67,B0005
537,70,92,84.9,B0005
538,71,91,83.16,B0005
539,72,90,81.25,B0005
540,73,89,80.15,B0005
541,74,88,79.32,B0005
542,75,87,78.28,B0005
543,76,86,76.1,B0005
544,77,85,74.39,B0005
545,78,84,72.93,B0005
546,79,83,65.6,B0005
547,80,82,61.99,B0005
548,81,81,64.2,B0005
549,82,80,57.09,B0005
550,83,79,56.56,B0005
551,84,78,50.26,B0005
552,85,77,53.21,B0005
553,86,76,52.32,B0005
554,87,75,49.37,B0005
555,88,74,51.8,B0005
556,89,73,50.81,B0005
557,90,72,53.34,B0005
558,91,71,48.76,B0005
559,92,70,50.55,B0005
560,93,69,58.78,B0005
561,94,68,51.12,B0005
562,95,67,48.52,B0005
563,96,66,47.77,B0005
564,97,65,46.99,B0005
565,98,64,45.92,B0005
566,99,63,46.79,B0005
567,100,62,46.5,B0005
568,101,61,47.38,B0005
569,102,60,45.78,B0005
570,103,59,37.58,B0005
571,104,58,45.27,B0005
572,105,57,39.77,B0005
573,106,56,45.5,B0005
574,107,55,38.57,B0005
575,108,54,37.49,B0005
576,109,53,32.94,B0005
577,110,52,34.64,B0005
578,111,51,36.94,B0005
579,112,50,29.37,B0005
580,113,49,23.88,B0005
581,114,48,31.26,B0005
582,115,47,28.37,B0005
583,116,46,18.25,B0005
584,117,45,17.33,B0005
585,118,44,18.09,B0005
586,119,43,17.99,B0005
587,120,42,27.32,B0005
588,121,41,22.92,B0005
589,122,40,32.33,B0005
590,123,39,26.13,B0005
591,124,38,18.11,B0005
592,125,37,18.02,B0005
593,126,36,16.35,B0005
594,127,35,16.82,B0005
595,128,34,17.96,B0005
596,129,33,18.86,B0005
597,130,32,18.73,B0005
598,131,31,17.2,B0005
599,132,30,17.81,B0005
600,133,29,18.08,B0005
601,134,28,17.71,B0005
602,135,27,21.62,B0005
603,136,26,17.13,B0005
604,137,25,17.54,B0005
605,138,24,16.43,B0005
606,139,23,17.13,B0005
607,140,22,15.37,B0005
608,141,21,15.36,B0005
609,142,20,14.75,B0005
610,143,19,13.49,B0005
611,144,18,14.5,B0005
612,145,17,14.29,B0005
613,146,16,13.02,B0005
614,147,15,11.31,B0005
615,148,14,10.16,B0005
616,149,13,10.1,B0005
617,150,12,11.79,B0005
618,151,11,12.06,B0005
619,152,10,14.13,B0005
620,153,9,15.7,B0005
621,154,8,14.25,B0005
622,155,7,13.2,B0005
623,156,6,12.04,B0005
624,157,5,11.15,B0005
625,158,4,10.92,B0005
626,159,3,10.26,B0005
627,160,2,9.82,B0005
628,161,1,9.78,B0005
629,162,0,9.86,B0005
630,163,0,9.56,B0005
631,164,0,9.78,B0005
632,165,0,9.78,B0005
633,166,0,9.8,B0005
634,167,0,11.14,B0005
635,168,0,12.53,B0005
