,Cycle,True SOH,Predicted SOH
56,57,88.43293042409496,89.30971347634399
83,84,77.01585371768061,78.1446230262307
19,20,93.67442042482638,94.6615910988875
31,32,90.40285579078848,89.55207904194116
76,77,79.4341881367415,79.2171344230444
117,118,73.56946436346267,72.82833546861278
55,56,90.223247227783,86.99255763599405
128,129,73.49874882306874,75.81380560699161
64,65,82.59609528835993,82.21276649918653
26,27,92.84243318688938,93.78806326079125
44,45,86.00862431802415,84.36494716078053
27,28,92.28259445182906,92.62050231041104
47,48,91.4188368861919,91.51202005338818
4,5,98.79761404357093,97.96978103892658
98,99,74.89816944965945,75.66367900721976
101,102,73.87179740348331,73.29199628807454
36,37,87.74365089051547,87.15951308500183
81,82,77.76453481817188,77.52060144918133
40,41,88.91086916860135,88.54920926174417
62,63,83.86061892347928,83.33420526881916
18,19,94.13560571253055,94.29971286817437
10,11,97.68846014740458,98.43914521530829
42,43,87.13811496336645,87.30406491246782
11,12,97.28772183488542,97.28166775241978
108,109,77.00079337204485,77.80116273704847
65,66,82.56708936300427,82.28466606977393
127,128,73.46274160714678,73.47726770876552
95,96,75.92682882066349,75.05573905461829
96,97,75.30196086484692,74.65326174524105
0,1,100.0,96.30872215265963
12,13,96.54123910288773,95.86813187689603
126,127,73.78195670433692,72.99752146194966
70,71,82.6642837170715,81.65479835327343
