,Cycle,True SOH,Predicted SOH
437,138,63.89142523000749,63.65340536463656
330,31,94.56790349742869,90.4431144452996
419,120,68.00643686533974,66.0603140526128
329,30,91.24918141799353,90.40886107103591
442,143,62.59584486293798,61.53117710660911
461,162,57.95946024028492,57.90498997170629
464,165,57.20922960804411,56.802255306503405
351,52,84.95922454210778,83.96507638845911
405,106,69.52241030736464,69.94575012031504
360,61,79.04583678923177,79.07878873070041
315,16,92.81993331989462,93.36411883465078
456,157,59.50377393250057,59.63196512001504
433,134,66.20193537828118,63.91752879535642
345,46,84.17895486292434,83.91542236398715
368,69,75.69624653118686,74.4218442209924
385,86,71.33577144710262,71.7204077367088
324,25,93.41978151219875,93.48884407610407
409,110,68.51612181802287,68.27013277108577
375,76,73.37948251946334,74.31371237355388
408,109,68.54707065486149,68.73425642073566
319,20,97.26281070025072,92.85714318681613
316,17,92.2833824005014,93.17599165188368
331,32,92.47761948322794,90.80253267472294
318,19,91.75820589657847,92.0597832502058
312,13,94.49439554578115,93.62119334175381
309,10,96.16246466459876,95.4927240034574
382,83,72.38184227571321,72.4363891574066
398,99,70.81775553094546,69.9767936486822
376,77,73.09019933714036,73.41297080832592
355,56,82.1228301199745,81.93397009017555
342,43,86.21059538809914,85.89102048688339
356,57,81.59624948921793,80.90292895720002
448,149,61.32090821428379,62.75604430615212
411,112,67.99058560840852,67.38948150758347
369,70,74.94156650980108,74.43820845378566
436,137,64.12775001365068,64.35303363566277
302,3,98.91854698908898,98.92612598530543
393,94,72.86806282628963,73.1531649363989
434,135,65.14952669744675,64.84935898395155
452,153,61.315438588627366,63.40429002981236
390,91,75.9770882494014,73.47848016046103
414,115,67.49543839713218,66.7872968732126
