,Cycle,True SOH,Predicted SOH
605,138,77.85337387257239,77.4633269570366
498,31,99.5989242807197,97.52870204836914
587,120,81.1167371232789,80.92015751127353
497,30,97.78691507545129,97.91039998050034
610,143,76.76233649357621,76.48406475083408
629,162,74.60608976183624,74.61664043544252
632,165,74.36789830704656,74.28694252878212
519,52,94.14562657201503,95.74067862929635
573,106,82.48082304608076,82.92473590224675
528,61,91.16090172599749,92.7670644425491
483,16,98.29107051087615,98.20449722548382
624,157,75.42130177927987,75.59027629224616
601,134,79.2223791768746,78.43296727322365
513,46,94.43870295876657,93.74710700044203
536,69,88.72980500287017,88.30040866470561
553,86,84.39308910654778,83.73174472821975
492,25,98.92225301434723,98.21549837905746
577,110,81.6790746176111,81.13766205357926
543,76,86.53455460107405,86.58594755675831
576,109,81.70153478223752,81.26601342490714
487,20,99.45682350219244,97.55473096091114
484,17,97.7137065868551,96.97309338795708
499,32,98.50711777410832,96.61435538033608
486,19,97.74340753850292,97.72580326346413
480,13,98.30900290898825,93.2101858969957
477,10,98.88951165957833,99.1033774683268
550,83,85.49336177737963,85.76342289723343
566,99,83.01190234003897,82.9254679783714
544,77,86.52618625053486,86.46581740578637
523,56,92.52243302854406,94.45430152534976
510,43,95.8833442691601,95.21867905344573
524,57,92.52256425292258,92.11021604175625
616,149,75.95213088960035,76.27321307464726
579,112,80.84178306554588,80.57591087148217
537,70,88.4801563486559,88.21438834928723
604,137,77.84434528297595,77.84601400679257
470,3,99.45059035569906,99.14819333340371
561,94,84.34323556466374,84.67367939699533
602,135,78.37316424573085,78.42112030283667
620,153,76.52553971151792,76.49671774330879
558,91,85.98354640622486,86.63601765125759
582,115,80.5850761600015,80.71270755929555
