,Cycle,True SOH,Predicted SOH
302,3,98.91854698908898,98.22548355989697
309,10,96.16246466459876,95.82198227324683
312,13,94.49439554578115,91.5940897782432
315,16,92.81993331989462,93.06733842356603
316,17,92.2833824005014,92.84863018423547
318,19,91.75820589657847,92.23888675173083
319,20,97.26281070025072,94.39508277831973
324,25,93.41978151219875,93.48269738523967
329,30,91.24918141799353,90.81460020214907
330,31,94.56790349742869,90.37684265409546
331,32,92.47761948322794,90.29593199556285
342,43,86.21059538809914,85.77951459052241
345,46,84.17895486292434,83.57826591594619
351,52,84.95922454210778,84.61820159349197
355,56,82.1228301199745,82.65712935185506
356,57,81.59624948921793,81.716619004054
360,61,79.04583678923177,80.35601170467575
368,69,75.69624653118686,74.96497425686313
369,70,74.94156650980108,74.88778353687051
375,76,73.37948251946334,74.05203312505475
376,77,73.09019933714036,74.0868729219518
382,83,72.38184227571321,72.96220606582533
385,86,71.33577144710262,71.13760890254125
390,91,75.9770882494014,73.40146605519749
393,94,72.86806282628963,72.60162023761399
398,99,70.81775553094546,71.22002309227652
405,106,69.52241030736464,70.02779275337171
408,109,68.54707065486149,69.07928670801623
409,110,68.51612181802287,68.25123691032528
411,112,67.99058560840852,67.22407227103886
414,115,67.49543839713218,66.58496242464372
419,120,68.00643686533974,65.85534211612215
433,134,66.20193537828118,64.89841413521535
434,135,65.14952669744675,63.747245526692225
436,137,64.12775001365068,63.997507485995555
437,138,63.89142523000749,64.43694815724005
442,143,62.59584486293798,62.09684661662926
448,149,61.32090821428379,62.42929671414709
452,153,61.315438588627366,63.48839649171439
456,157,59.50377393250057,59.99872511203531
461,162,57.95946024028492,58.263300064168334
464,165,57.20922960804411,58.01093783950809
