,Cycle,True SOH,Predicted SOH
470,3,99.45059035569906,99.01296
477,10,98.88951165957833,98.87717
480,13,98.30900290898825,92.490875
483,16,98.29107051087615,98.43816
484,17,97.7137065868551,97.189705
486,19,97.74340753850292,97.72537
487,20,99.45682350219244,97.77912
492,25,98.92225301434723,98.191
497,30,97.78691507545129,97.93031
498,31,99.5989242807197,97.71409
499,32,98.50711777410832,96.49445
510,43,95.8833442691601,95.64749
513,46,94.43870295876657,93.87445
519,52,94.14562657201503,95.674614
523,56,92.52243302854406,94.37445
524,57,92.52256425292258,92.24
528,61,91.16090172599749,92.20547
536,69,88.72980500287017,88.21517
537,70,88.4801563486559,88.20201
543,76,86.53455460107405,86.465004
544,77,86.52618625053486,86.38107
550,83,85.49336177737963,85.447754
553,86,84.39308910654778,83.961784
558,91,85.98354640622486,86.086105
561,94,84.34323556466374,84.5612
566,99,83.01190234003897,83.03837
573,106,82.48082304608076,83.01509
576,109,81.70153478223752,81.44756
577,110,81.6790746176111,81.33843
579,112,80.84178306554588,80.54853
582,115,80.5850761600015,80.47509
587,120,81.1167371232789,80.85861
601,134,79.2223791768746,78.6397
602,135,78.37316424573085,78.71025
604,137,77.84434528297595,77.73546
605,138,77.85337387257239,77.52002
610,143,76.76233649357621,76.679855
616,149,75.95213088960035,76.150986
620,153,76.52553971151792,76.41934
624,157,75.42130177927987,75.58262
629,162,74.60608976183624,74.70079
632,165,74.36789830704656,74.40985
