,Cycle,True SOH,Predicted SOH
470,3,99.45059035569906,98.60956710565559
477,10,98.88951165957833,98.92120861936036
480,13,98.30900290898825,94.1714380725379
483,16,98.29107051087615,98.22431257864504
484,17,97.7137065868551,97.34656979953193
486,19,97.74340753850292,97.82618380796686
487,20,99.45682350219244,97.79815865821256
492,25,98.92225301434723,98.33139388435141
497,30,97.78691507545129,97.89161209308568
498,31,99.5989242807197,97.88459142071069
499,32,98.50711777410832,96.38685746144944
510,43,95.8833442691601,96.00356845684031
513,46,94.43870295876657,94.26444760731087
519,52,94.14562657201503,95.33989550168825
523,56,92.52243302854406,93.95430037947096
524,57,92.52256425292258,93.41987284844207
528,61,91.16090172599749,91.76461493102929
536,69,88.72980500287017,88.63916133887584
537,70,88.4801563486559,88.34375338152331
543,76,86.53455460107405,86.82474776515403
544,77,86.52618625053486,86.59889294462863
550,83,85.49336177737963,85.38408135532941
553,86,84.39308910654778,84.56369443765654
558,91,85.98354640622486,86.40701566362674
561,94,84.34323556466374,84.76535459580074
566,99,83.01190234003897,83.15963578641285
573,106,82.48082304608076,82.95364714983522
576,109,81.70153478223752,81.4229229683526
577,110,81.6790746176111,81.27039307961246
579,112,80.84178306554588,80.5974288975054
582,115,80.5850761600015,80.55584317192184
587,120,81.1167371232789,80.86760802860103
601,134,79.2223791768746,78.94623762359092
602,135,78.37316424573085,78.74077243373759
604,137,77.84434528297595,78.0266766714346
605,138,77.85337387257239,77.92038241204244
610,143,76.76233649357621,76.45078817993063
616,149,75.95213088960035,76.36979339030383
620,153,76.52553971151792,76.82477130985947
624,157,75.42130177927987,75.71562670939883
629,162,74.60608976183624,74.9221757052766
632,165,74.36789830704656,74.32428234488499
