,Cycle,True SOH,Predicted SOH
302,3,98.91854698908898,98.78838
309,10,96.16246466459876,95.38068
312,13,94.49439554578115,93.37717
315,16,92.81993331989462,92.56468
316,17,92.2833824005014,92.81837
318,19,91.75820589657847,91.48667
319,20,97.26281070025072,93.844345
324,25,93.41978151219875,93.43237
329,30,91.24918141799353,90.57753
330,31,94.56790349742869,90.19973
331,32,92.47761948322794,90.04317
342,43,86.21059538809914,85.83521
345,46,84.17895486292434,83.94395
351,52,84.95922454210778,84.38978
355,56,82.1228301199745,81.57334
356,57,81.59624948921793,81.13561
360,61,79.04583678923177,78.69014
368,69,75.69624653118686,74.87133
369,70,74.94156650980108,75.07771
375,76,73.37948251946334,74.10581
376,77,73.09019933714036,73.9345
382,83,72.38184227571321,72.58718
385,86,71.33577144710262,71.27473
390,91,75.9770882494014,73.25032
393,94,72.86806282628963,73.19246
398,99,70.81775553094546,70.99306
405,106,69.52241030736464,70.95528
408,109,68.54707065486149,69.17406
409,110,68.51612181802287,68.26052
411,112,67.99058560840852,67.26401
414,115,67.49543839713218,66.97854
419,120,68.00643686533974,66.23104
433,134,66.20193537828118,64.82345
434,135,65.14952669744675,64.73894
436,137,64.12775001365068,64.46986
437,138,63.89142523000749,63.869152
442,143,62.59584486293798,62.030445
448,149,61.32090821428379,62.294926
452,153,61.315438588627366,64.00537
456,157,59.50377393250057,59.703587
461,162,57.95946024028492,57.899757
464,165,57.20922960804411,57.127132
