,Cycle,True SOH,Predicted SOH
134,3,98.86138595081707,98.62484
141,10,98.28309354731991,98.019264
144,13,97.69805803238793,95.83233
147,16,97.07078432300708,97.25173
148,17,97.09624103091468,97.01497
150,19,97.1069130069902,96.74418
151,20,99.4903587398902,97.04744
156,25,98.33524772367372,98.83334
161,30,97.17690623092356,97.37504
162,31,99.74764875349149,96.765305
163,32,98.61116348782738,97.748695
174,43,95.21299593373236,95.105736
177,46,93.82501520146927,94.52728
183,52,94.09547290193552,94.67144
187,56,92.42220117908766,93.22297
188,57,92.1381600518121,92.95536
192,61,90.75757205607076,90.5432
200,69,87.94754127611388,87.48302
201,70,87.67917699307696,87.510635
207,76,85.41878490754121,86.00459
208,77,85.3732189598637,86.09887
214,83,83.74359751414075,83.233536
217,86,82.30135260370757,83.46153
222,91,84.23699116610504,82.29708
225,94,82.24956494324319,82.58426
230,99,80.30457886878685,80.313484
237,106,79.16855834115802,79.58345
240,109,78.37509350133122,77.53065
241,110,78.05289427291895,77.31085
243,112,77.2127737620359,77.02896
246,115,76.64583676775118,76.90257
251,120,77.20989824377314,76.4125
265,134,74.6631245442362,74.006195
266,135,73.78719555127385,74.134476
268,137,72.95077959801873,74.277596
269,138,72.96799787853683,73.049774
274,143,72.12085080709221,71.36788
280,149,71.01007124097441,71.61217
284,153,71.58834698305495,72.59958
288,157,70.73584494666221,71.16174
293,162,69.91090088170861,70.1321
296,165,69.37851440175623,70.04961
