,Cycle,True SOH,Predicted SOH
0,1,100.0,95.42432194736715
4,5,98.79761404357093,97.80087627974787
10,11,97.68846014740458,98.04331498639611
11,12,97.28772183488542,97.72450951892692
12,13,96.54123910288773,97.07740114443641
18,19,94.13560571253055,94.20429887338119
19,20,93.67442042482638,93.98681215104878
26,27,92.84243318688938,93.12286175784254
27,28,92.28259445182906,92.7959919918535
31,32,90.40285579078848,89.7546850671026
36,37,87.74365089051547,87.09024560740713
40,41,88.91086916860135,88.67261912786351
42,43,87.13811496336645,86.64894765555105
44,45,86.00862431802415,85.81067325231426
47,48,91.4188368861919,92.45527074751452
55,56,90.223247227783,86.65553069843604
56,57,88.43293042409496,89.07326634653398
62,63,83.86061892347928,85.00624528635709
64,65,82.59609528835993,82.5571079978706
65,66,82.56708936300427,82.39646653525614
70,71,82.6642837170715,81.16727220893559
76,77,79.4341881367415,79.95563416044139
81,82,77.76453481817188,77.63769435098887
83,84,77.01585371768061,78.19145037790292
95,96,75.92682882066349,74.79342204733935
96,97,75.30196086484692,74.53841169274843
98,99,74.89816944965945,75.09764133149586
101,102,73.87179740348331,73.53597807561776
108,109,77.00079337204485,77.26044372207949
117,118,73.56946436346267,73.31953379373203
126,127,73.78195670433692,73.21933327920132
127,128,73.46274160714678,74.1069126352253
128,129,73.49874882306874,75.8193377666537
