,Actual,Predicted,Group,Fold,Index
468,100.0,95.11442725504713,B0007,3,468
469,99.44923428456647,95.30590519373133,B0007,3,469
470,99.45059035569906,95.23545063197221,B0007,3,470
471,99.45631358622364,95.26777153495293,B0007,3,471
472,99.38650969142621,95.11774377869716,B0007,3,472
473,99.45258289766596,95.12917755857599,B0007,3,473
474,99.41212397661985,95.27541070991224,B0007,3,474
475,99.49533479268811,95.20719468855191,B0007,3,475
476,98.87039039563994,94.94527852346064,B0007,3,476
477,98.88951165957833,94.83817711841898,B0007,3,477
478,98.88908117331621,94.76766624090337,B0007,3,478
479,98.33952785490447,94.81919246291736,B0007,3,479
480,98.30900290898825,94.55482170990514,B0007,3,480
481,98.30550230165662,94.8245646861753,B0007,3,481
482,98.32421151057929,93.46316837925265,B0007,3,482
483,98.29107051087615,93.96694179548362,B0007,3,483
484,97.7137065868551,95.09211439404926,B0007,3,484
485,97.75114607455649,94.93005679199744,B0007,3,485
486,97.74340753850292,93.33235186592533,B0007,3,486
487,99.45682350219244,93.81720810601229,B0007,3,487
488,99.49339657767369,95.9611245295967,B0007,3,488
489,99.47347494881129,96.88794115750727,B0007,3,489
490,98.94009644991608,97.12818661342926,B0007,3,490
491,98.89729225111972,96.75442293648055,B0007,3,491
492,98.92225301434723,97.47660777257258,B0007,3,492
493,98.33744254109715,97.5132016067216,B0007,3,493
494,98.35972882674649,97.49533063562963,B0007,3,494
495,98.31379679174215,97.40139739270312,B0007,3,495
496,97.73076198804469,97.17310020320937,B0007,3,496
497,97.78691507545129,97.40853061083224,B0007,3,497
498,99.5989242807197,97.28477386411546,B0007,3,498
499,98.50711777410832,96.68015671446318,B0007,3,499
500,97.93938772431541,97.16027360387126,B0007,3,500
501,97.66786827220949,97.76450884230987,B0007,3,501
502,97.13260895248978,97.64716851955363,B0007,3,502
503,97.150246264743,97.62040195236577,B0007,3,503
504,96.85994738677314,97.96087960078565,B0007,3,504
505,96.30337032828774,97.97646661837373,B0007,3,505
506,96.0579512231908,97.00667179439544,B0007,3,506
507,95.78696287593304,97.02515075258471,B0007,3,507
508,95.79881200586186,96.82966891589263,B0007,3,508
509,95.50528559986309,97.15343199042839,B0007,3,509
510,95.8833442691601,96.7435537703143,B0007,3,510
511,95.51635342031008,98.2695347035444,B0007,3,511
512,94.96464108196085,97.98254510326076,B0007,3,512
513,94.43870295876657,96.23539993650147,B0007,3,513
514,94.14477139472056,96.57705518736756,B0007,3,514
515,95.98231071565729,96.73770731537172,B0007,3,515
516,96.0154576322473,96.7455436851949,B0007,3,516
517,95.19796053200332,96.77272815571253,B0007,3,517
518,94.67996336880418,96.96219549682688,B0007,3,518
519,94.14562657201503,96.04263716419725,B0007,3,519
520,93.88046929870528,95.84200460956939,B0007,3,520
521,93.6125869066702,95.33049451622735,B0007,3,521
522,93.07416120348377,95.71484230186414,B0007,3,522
523,92.52243302854406,95.18054837053306,B0007,3,523
524,92.52256425292258,94.73727346178273,B0007,3,524
525,92.2781851918098,94.57240994133085,B0007,3,525
526,91.9935291989993,94.43135952706757,B0007,3,526
527,91.40753177397374,94.5132007373284,B0007,3,527
528,91.16090172599749,94.32057390772201,B0007,3,528
529,90.63624955407813,93.768626606377,B0007,3,529
530,90.63579065888634,93.6213759921006,B0007,3,530
531,90.09016416501656,93.3952906244133,B0007,3,531
532,90.10928738414982,93.52913538473494,B0007,3,532
533,89.55710108399319,92.72490761906263,B0007,3,533
534,89.24437153331117,92.18373587332536,B0007,3,534
535,89.00200379231205,91.81099499072265,B0007,3,535
536,88.72980500287017,91.56645579656075,B0007,3,536
537,88.4801563486559,91.71120697046877,B0007,3,537
538,88.17507188402843,91.53378266703672,B0007,3,538
539,87.90165492082501,91.06213283231065,B0007,3,539
540,87.645609305257,90.72024076063249,B0007,3,540
541,87.38725464951953,89.15311808414866,B0007,3,541
542,87.10586517211738,89.11851419641013,B0007,3,542
543,86.53455460107405,88.63361635963727,B0007,3,543
544,86.52618625053486,88.12493085894279,B0007,3,544
545,86.78338421514901,89.65656369666812,B0007,3,545
546,86.27842196339309,89.11276045914752,B0007,3,546
547,85.73074826850355,86.6971557827466,B0007,3,547
548,85.47766370163623,86.9307971549079,B0007,3,548
549,85.44573379066746,86.72460794100094,B0007,3,549
550,85.49336177737963,86.72254491748541,B0007,3,550
551,85.1835557535501,86.7036658782509,B0007,3,551
552,84.64389595847521,86.27096958734029,B0007,3,552
553,84.39308910654778,85.13274094663339,B0007,3,553
554,84.40897990165642,85.60413518910721,B0007,3,554
555,84.38722267771132,85.93842058912563,B0007,3,555
556,84.11458456358338,85.86907992426684,B0007,3,556
557,89.3058917673428,89.40283166251228,B0007,3,557
558,85.98354640622486,89.85840722618866,B0007,3,558
559,85.44149679093846,87.85816259542602,B0007,3,559
560,84.90842270191371,86.6872820911405,B0007,3,560
561,84.34323556466374,85.95807029815869,B0007,3,561
562,84.1018647534828,85.8837846887915,B0007,3,562
563,83.83436619721833,85.10017867662141,B0007,3,563
564,83.5499747191144,84.8010189987828,B0007,3,564
565,83.29851852152426,84.7852067605061,B0007,3,565
566,83.01190234003897,84.47336817072036,B0007,3,566
567,83.0361244595057,84.35763180108087,B0007,3,567
568,82.77136902689281,84.27421178014754,B0007,3,568
569,82.4743946723507,84.28133778009494,B0007,3,569
570,82.75720651161599,84.27355155417746,B0007,3,570
571,83.28587758683834,85.83296522165435,B0007,3,571
572,82.77302117414882,84.50896474125639,B0007,3,572
573,82.48082304608076,84.3532676568873,B0007,3,573
574,81.95953593923268,84.26329778406276,B0007,3,574
575,81.6411665027728,83.08804035213672,B0007,3,575
576,81.70153478223752,83.9840299248732,B0007,3,576
577,81.6790746176111,83.27253995575083,B0007,3,577
578,81.13517938745419,82.63131928135778,B0007,3,578
579,80.84178306554588,81.85431561157408,B0007,3,579
580,80.85054171397351,82.32887622498461,B0007,3,580
581,80.85930007647583,82.18516494012162,B0007,3,581
582,80.5850761600015,82.05085744488757,B0007,3,582
