,B0006
0,98.55701860706834
1,99.45760593929417
2,100.07142996993582
3,100.04500132634114
4,99.65581151670634
5,99.97564071089862
6,99.61659987118787
7,99.66014109168563
8,99.5145015318581
9,98.86325698222103
10,99.03216819733335
11,98.93590778068895
12,93.7424528733222
13,98.2840335819788
14,97.84253478599241
15,97.0574864978956
16,97.3075312735986
17,96.8129853362678
18,96.37379829239957
19,98.48881947739044
20,98.5327727443167
21,100.78289675766808
22,100.14294171134506
23,99.53201646205311
24,99.28871168041788
25,97.37790223140912
26,97.22062306641004
27,96.98338398128104
28,96.4369396790263
29,96.06711873399487
30,95.79002259956279
31,95.74395544244588
32,96.33400909785944
33,95.68031021268634
34,94.9830174067554
35,94.34500347189255
36,93.46344709652281
37,92.46138455520587
38,91.54244952712911
39,90.9069023425699
40,90.41478703289076
41,89.8822586587607
42,89.2659644135909
43,89.75665603853311
44,88.0452363032515
45,87.39570532870378
46,87.05686961128923
47,91.9438431348591
48,90.39137848815301
49,89.47798938135692
50,91.62318910284253
51,90.14287304674242
52,88.27934832306002
53,87.31689513740332
54,86.09164590944184
55,84.99779825157177
56,83.91101315364313
57,82.57263452067085
58,82.45608808525036
59,81.38665692039024
60,80.57063043757927
61,78.91246355143572
62,78.36602297807819
63,78.97405040163662
64,78.24269049619612
65,76.90454801000014
66,76.11056577735506
67,75.80906886907248
68,74.69237728234647
69,74.27022324256075
70,74.15486274761864
71,73.86611502637142
72,73.69685326091933
73,72.83607367453251
74,72.17958360353902
75,72.05706241092797
76,71.00215100835521
77,71.26720134811877
78,70.49810995367999
79,68.50907470270616
80,70.62494409488794
81,69.85658222811642
82,70.00549165935094
83,69.13460996821757
84,68.79666444693095
85,68.6475148996645
86,68.86762690178196
87,68.22709548254313
88,68.05515874155631
89,68.94071044418408
90,69.37526014410795
91,70.14690872413321
92,71.45610458112999
93,70.57653749275646
94,69.52256676951302
95,69.0945267022698
96,68.59019106852539
97,68.22416444779934
98,68.08047077059597
99,67.61394412940669
100,67.25933619933848
101,67.31882701032245
102,66.93599303664026
103,67.5085070766315
104,67.18026909525629
105,67.676748917516
106,67.3934796184355
107,66.8013858363706
108,66.57090946721583
109,66.5588324842605
110,65.97676789113694
111,65.63470368703872
112,65.4045916909895
113,65.59550668619798
114,65.46699228950743
115,65.16513762075502
116,64.89047078795909
117,64.9348570385502
118,64.7104005241309
119,65.32983640116362
120,65.85687108180826
121,66.01643138843853
122,66.04091725678913
123,65.03825576313453
124,64.844592518681
125,64.4632562413318
126,64.23962521997795
127,64.17433909535912
128,64.02216336964705
129,63.82398712903918
130,63.65675377427691
131,63.76925787912997
132,63.88967187898811
133,64.51705680352792
134,64.52803800045461
135,65.14573810243112
136,64.16113188512537
137,63.89308728056535
138,63.99646699936471
139,63.71952182559007
140,63.49863845389192
141,63.471479135271174
142,63.25047916483085
143,63.21628395467956
144,63.17979924499743
145,63.21366310030149
146,62.39971855346583
147,62.39718256486948
148,62.80135510504444
149,62.559070262548914
150,63.10012114320411
151,62.43874096446226
152,63.73104850513864
153,63.22939261051373
154,62.80826179362065
155,62.695728471432325
156,62.48858345264514
157,62.316028074419286
158,62.18185124119319
159,62.25626279201527
160,62.272151439185734
161,62.33284330879322
162,62.202446084688006
163,62.24409826276014
164,62.16867033727272
165,62.00087115225584
166,62.7246221047203
167,63.593691919069975
