,cycle,ambient_temperature,datetime,capacity
0,1,24,2008-07-07 15:15:28,1.8550045207910817
1,2,24,2008-07-07 21:53:06,1.8431955317089987
2,3,24,2008-07-08 02:56:08,1.8396018424355423
3,4,24,2008-07-08 07:58:55,1.8306736044962053
4,5,24,2008-07-08 18:57:48,1.8327002069419656
5,6,24,2008-07-08 22:57:17,1.8285288846046388
6,7,24,2008-07-09 02:56:41,1.8212011895697924
7,8,24,2008-07-09 06:55:54,1.8151700106433282
8,9,24,2008-07-09 11:26:41,1.8042980520967649
9,10,24,2008-07-10 16:34:39,1.8231002302844226
10,11,24,2008-07-10 20:33:58,1.8121253520255494
11,12,24,2008-07-11 00:30:25,1.8046916382117766
12,13,24,2008-07-11 04:28:49,1.790844349786295
13,14,24,2008-07-11 08:59:08,1.783470722841926
14,15,24,2008-07-11 14:27:05,1.7809386125310702
15,16,24,2008-07-11 18:25:27,1.771209039672698
16,17,24,2008-07-11 22:22:05,1.7686303996707076
17,18,24,2008-07-12 02:18:11,1.7536304801917124
18,19,24,2008-07-12 06:45:43,1.7462197416415093
19,20,24,2008-07-12 11:15:36,1.7376647337053737
20,21,24,2008-07-12 15:13:28,1.7315166735475835
21,22,24,2008-07-12 18:52:45,1.7085949894470602
22,23,24,2008-07-12 22:50:29,1.711469957068211
23,24,24,2008-07-13 03:19:05,1.7075021373272627
24,25,24,2008-07-14 13:08:20,1.7492382064360228
25,26,24,2008-07-14 17:03:45,1.7327697147429955
26,27,24,2008-07-14 20:57:32,1.7222313328292376
27,28,24,2008-07-15 00:49:58,1.711846298984729
28,29,24,2008-07-15 05:14:47,1.699267835126687
29,30,24,2008-07-15 09:43:28,1.6940366439243106
30,31,24,2008-07-15 13:36:47,1.6819027078768087
31,32,24,2008-07-15 17:29:47,1.6769770618433686
32,33,24,2008-07-15 21:21:30,1.6655229306478936
33,34,24,2008-07-16 01:45:13,1.6571924575832084
34,35,24,2008-07-16 06:12:34,1.6482241555294048
35,36,24,2008-07-16 10:05:40,1.6387701497987262
36,37,24,2008-07-16 13:57:42,1.6276486907262062
37,38,24,2008-07-16 17:51:36,1.62215370227252
38,39,24,2008-07-16 22:13:57,1.6140066510467586
39,40,24,2008-07-18 17:28:12,1.6760516154424623
40,41,24,2008-07-18 21:19:44,1.649300642552199
41,42,24,2008-07-19 01:10:07,1.63238299185809
42,43,24,2008-07-19 05:01:04,1.6164159719025777
43,44,24,2008-07-19 09:25:29,1.6109028378249377
44,45,24,2008-07-19 13:53:00,1.5954638693695657
45,46,24,2008-07-29 18:34:27,1.726707440085764
46,47,24,2008-07-29 22:21:53,1.7165673917429753
47,48,24,2008-07-30 02:09:48,1.6958235570934848
48,49,24,2008-07-30 05:57:02,1.6777783190792557
49,50,24,2008-07-30 09:52:21,1.6606586897774192
50,51,24,2008-07-30 19:28:07,1.6664109274827466
51,52,24,2008-07-30 23:16:54,1.6468336174407805
52,53,24,2008-07-31 02:46:18,1.6257639928779952
53,54,24,2008-07-31 06:15:17,1.6121577411874595
54,55,24,2008-07-31 10:10:14,1.6057366823755344
55,56,24,2008-08-01 17:46:33,1.673645314879889
56,57,24,2008-08-01 21:32:12,1.6404348572349936
57,58,24,2008-08-02 01:17:09,1.6132653317422077
58,59,24,2008-08-02 05:03:55,1.5920964324686278
59,60,24,2008-08-02 09:26:51,1.5866011820698824
60,61,24,2008-08-02 13:55:03,1.5800766490336253
61,62,24,2008-08-02 17:41:59,1.5641732953289167
62,63,24,2008-08-02 21:29:24,1.555618272193922
63,64,24,2008-08-03 01:16:07,1.5402045278637397
64,65,24,2008-08-03 05:39:11,1.5321613015959863
65,66,24,2008-08-03 10:08:42,1.5316232403693415
66,67,24,2008-08-03 13:54:25,1.5222595950771978
67,68,24,2008-08-03 17:42:28,1.5065267126851283
68,69,24,2008-08-03 21:26:49,1.5014219556532926
69,70,24,2008-08-04 01:48:42,1.4963534117486457
70,71,24,2008-08-04 17:08:25,1.5334262000312422
71,72,24,2008-08-04 20:55:13,1.523845267514426
72,73,24,2008-08-05 00:41:24,1.5011920994261239
73,74,24,2008-08-05 04:27:50,1.492417671450291
74,75,24,2008-08-05 08:23:48,1.483323851940123
75,76,24,2008-08-05 12:50:42,1.4807376792294196
76,77,24,2008-08-05 16:36:12,1.4735077809902477
77,78,24,2008-08-05 20:21:46,1.46801928526661
78,79,24,2008-08-06 00:06:53,1.4580923557119019
79,80,24,2008-08-06 04:27:52,1.4478660988891399
80,81,24,2008-08-06 08:55:24,1.4527808777541982
81,82,24,2008-08-06 12:40:42,1.4425356364492432
82,83,24,2008-08-06 16:25:32,1.4392712877203313
83,84,24,2008-08-06 20:09:11,1.4286475681888218
84,85,24,2008-08-07 00:27:39,1.4249026750004896
85,86,24,2008-08-07 19:05:53,1.4698115324524124
86,87,24,2008-08-07 22:50:51,1.4525819651050202
87,88,24,2008-08-08 02:32:53,1.442834198908794
88,89,24,2008-08-08 06:16:47,1.428376058807949
89,90,24,2008-08-08 10:14:50,1.4154547844370715
90,91,24,2008-08-08 20:10:08,1.454576670077708
91,92,24,2008-08-08 23:54:01,1.4283179548274056
92,93,24,2008-08-09 03:37:06,1.4197026883204058
93,94,24,2008-08-09 07:19:59,1.4155606630306516
94,95,24,2008-08-09 11:36:57,1.405680035419228
95,96,24,2008-08-09 15:59:02,1.4084461071166137
96,97,24,2008-08-09 19:41:13,1.3968547782872414
97,98,24,2008-08-09 23:22:00,1.3935670371440676
98,99,24,2008-08-10 03:01:08,1.3893644292809475
99,100,24,2008-08-10 07:19:08,1.3785651415666713
100,101,24,2008-08-10 11:39:39,1.384901110085747
101,102,24,2008-08-10 15:21:25,1.3703251814242443
102,103,24,2008-08-10 19:01:07,1.3733464385229082
103,104,24,2008-08-10 22:40:10,1.3679487285504814
104,105,24,2008-08-11 02:53:19,1.3567141087089647
105,106,24,2008-08-14 13:04:49,1.4604310209194575
106,107,24,2008-08-14 16:49:56,1.4500998937104097
107,108,24,2008-08-14 20:29:23,1.4381406901824496
108,109,24,2008-08-15 00:08:59,1.4283681980964316
109,110,24,2008-08-15 03:59:10,1.4147874517552432
110,111,24,2008-08-15 08:19:52,1.413889163393182
111,112,24,2008-08-15 12:00:03,1.3989331662177225
112,113,24,2008-08-15 15:37:16,1.3953322584033976
113,114,24,2008-08-15 19:13:34,1.390046129540245
114,115,24,2008-08-15 23:27:04,1.3860271454209647
115,116,24,2008-08-16 03:52:55,1.388215260193751
116,117,24,2008-08-16 07:37:37,1.3761826562394497
117,118,24,2008-08-16 11:21:22,1.3647168898640165
118,119,24,2008-08-16 15:02:56,1.3589854739373584
119,120,24,2008-08-16 19:15:49,1.3462308764008801
120,121,24,2008-08-18 14:27:16,1.4268427818454643
121,122,24,2008-08-18 18:08:54,1.4064481483279663
122,123,24,2008-08-18 21:48:48,1.3934907492075153
123,124,24,2008-08-19 01:25:43,1.3882493512249316
124,125,24,2008-08-19 05:17:05,1.3701878338420928
125,126,24,2008-08-19 09:39:42,1.3796951665608619
126,127,24,2008-08-19 13:17:33,1.3686586323935683
127,128,24,2008-08-19 16:54:51,1.3627371779096438
128,129,24,2008-08-19 20:32:20,1.3634051133928073
129,130,24,2008-08-20 00:43:05,1.3518646035305233
130,131,24,2008-08-20 05:02:00,1.3547969729652622
131,132,24,2008-08-20 08:37:19,1.341051440640485
