,Cycle,True RUL,Predicted RUL
504,1,132,121.70333333333333
508,5,128,125.80333333333333
514,11,122,125.61
515,12,121,124.47666666666667
516,13,120,120.76
522,19,114,110.56666666666666
523,20,113,109.75
530,27,106,104.73666666666666
531,28,105,105.39666666666666
535,32,101,99.39666666666666
540,37,96,92.33
544,41,92,94.83666666666667
546,43,90,90.69
548,45,88,76.05333333333333
551,48,85,95.08333333333333
559,56,77,91.65666666666667
560,57,76,91.56333333333333
566,63,70,74.14666666666666
568,65,68,67.72666666666667
569,66,67,66.64666666666666
574,71,62,64.40333333333334
580,77,56,55.806666666666665
585,82,51,50.17666666666667
587,84,49,47.04666666666667
599,96,37,29.14
600,97,36,26.963333333333335
602,99,34,32.67666666666667
605,102,31,21.826666666666668
612,109,24,41.22666666666667
621,118,15,17.073333333333334
630,127,6,10.16
631,128,5,14.81
632,129,4,20.513333333333332
