,Cycle,True RUL,Predicted RUL
338,3,166,164.57687
345,10,159,159.2153
348,13,156,138.93785
351,16,153,150.32913
352,17,152,134.27898
354,19,150,141.29749
355,20,149,153.95062
360,25,144,141.01103
365,30,139,146.36203
366,31,138,157.81053
367,32,137,146.82642
378,43,126,127.034836
381,46,123,121.39858
387,52,117,121.8294
391,56,113,111.12259
392,57,112,111.19895
396,61,108,109.00156
404,69,100,98.007515
405,70,99,97.99493
411,76,93,91.0609
412,77,92,91.06481
418,83,86,88.58326
421,86,83,79.52297
426,91,78,79.66312
429,94,75,79.539
434,99,70,68.479996
441,106,63,68.74334
444,109,60,58.3941
445,110,59,53.13527
447,112,57,52.991642
450,115,54,53.536217
455,120,49,48.148453
469,134,35,41.49604
470,135,34,37.781498
472,137,32,30.4851
473,138,31,30.151735
478,143,26,23.246157
484,149,20,19.034863
488,153,16,27.06487
492,157,12,11.564451
497,162,7,5.306813
500,165,4,3.74034
