,Cycle,True RUL,Predicted RUL
473,138,31,28.544855751162583
366,31,138,158.76085054818344
455,120,49,46.6456496003077
365,30,139,148.42555575364753
478,143,26,23.90401481480297
497,162,7,5.010140331280281
500,165,4,4.41683411728921
387,52,117,122.2857705557375
441,106,63,68.81989941886248
396,61,108,109.08770245274141
351,16,153,150.84856464048846
492,157,12,10.005451963485116
469,134,35,40.07455094152162
381,46,123,120.47715772192876
404,69,100,97.73833694848214
421,86,83,79.59009631971638
360,25,144,142.30896322600643
445,110,59,55.43792288223551
411,76,93,91.57865978759423
444,109,60,59.994805033593366
355,20,149,157.73483548162932
352,17,152,133.9816812712059
367,32,137,151.11430574997178
354,19,150,142.82621417405142
348,13,156,136.1136653189164
345,10,159,159.15346198398373
418,83,86,86.84228919948359
434,99,70,68.71719380907567
412,77,92,91.6186724882915
391,56,113,110.6950924473851
378,43,126,124.83454175949014
392,57,112,110.51256702918963
484,149,20,17.427201572374067
447,112,57,51.813340663625226
405,70,99,97.7801938946622
472,137,32,29.533040535977005
338,3,166,165.0167250537707
429,94,75,78.72275367801168
470,135,34,38.14923554622081
488,153,16,24.89785395001044
426,91,78,80.26698866214467
450,115,54,52.31624384884081
