,Cycle,True RUL,Predicted RUL
504,1,132,126.05339
508,5,128,125.148224
514,11,122,126.013664
515,12,121,124.47279
516,13,120,118.969505
522,19,114,110.81166
523,20,113,111.085175
530,27,106,111.06219
531,28,105,110.012764
535,32,101,101.51657
540,37,96,94.403366
544,41,92,96.39428
546,43,90,94.3084
548,45,88,73.59461
551,48,85,93.67191
559,56,77,93.093155
560,57,76,93.62581
566,63,70,70.78823
568,65,68,65.89533
569,66,67,65.89533
574,71,62,65.95129
580,77,56,54.616558
585,82,51,53.866863
587,84,49,49.242912
599,96,37,28.154066
600,97,36,33.154877
602,99,34,39.96985
605,102,31,19.05704
612,109,24,34.229507
621,118,15,15.090125
630,127,6,8.4934845
631,128,5,10.6287565
632,129,4,18.922092
