,Cycle,True RUL,Predicted RUL
2,3,99,98.65492
9,10,92,90.02471
12,13,89,71.973564
15,16,86,84.38649
16,17,85,84.555016
18,19,83,80.447044
19,20,82,85.663376
24,25,77,78.89478
29,30,72,71.532646
30,31,71,72.80919
31,32,70,69.50668
42,43,59,58.85012
45,46,56,53.580605
51,52,50,51.948715
55,56,46,43.949196
56,57,45,43.983227
60,61,41,40.00213
68,69,33,30.77136
69,70,32,30.33115
75,76,26,22.672962
76,77,25,16.46256
82,83,19,15.57166
85,86,16,13.797934
90,91,11,10.482586
93,94,8,11.894842
98,99,3,9.852428
105,106,0,10.782887
108,109,0,0.0011229662
109,110,0,-0.05289787
111,112,0,-0.00021254056
114,115,0,0.0018574218
119,120,0,-0.15038942
133,134,0,-0.35498893
134,135,0,-0.35498893
136,137,0,0.0142526
137,138,0,-0.0016281896
142,143,0,0.0053250403
148,149,0,0.01878739
152,153,0,4.54241e-05
156,157,0,1.3800332e-05
161,162,0,-7.1073104e-05
164,165,0,-7.1073104e-05
