,Cycle,True RUL,Predicted RUL
137,138,0,0.030649459080638958
30,31,71,74.21005472298303
119,120,0,0.008082097156758367
29,30,72,74.57190420461082
142,143,0,0.05525282443643188
161,162,0,0.011843231823571559
164,165,0,0.0016725414128512866
51,52,50,49.530098997572566
105,106,0,7.020181543284238
60,61,41,39.879912921405165
15,16,86,85.77416140974238
156,157,0,0.012929931852244822
133,134,0,-1.5311870402681722
45,46,56,52.26799911163094
68,69,33,30.242101841944837
85,86,16,12.315486808381117
24,25,77,78.25958444394891
109,110,0,-0.2572636591483146
75,76,26,21.47457534188271
108,109,0,0.015115410341777935
19,20,82,83.11085769545186
16,17,85,84.89448107432375
31,32,70,70.1477886972561
18,19,83,79.55904555422046
12,13,89,80.69011292244004
9,10,92,89.83655839409438
82,83,19,15.08528533820999
98,99,3,4.0868249482365675
76,77,25,15.743720457934865
55,56,46,44.370541846849605
42,43,59,59.15591465522441
56,57,45,43.77621589618181
148,149,0,0.05764991939615375
111,112,0,0.04613354552176968
69,70,32,30.563804123414947
136,137,0,-0.11062376590958863
2,3,99,98.34535523790665
93,94,8,13.911639683089218
134,135,0,-1.5886747404018557
152,153,0,-0.015348873466437733
90,91,11,14.84595112163513
114,115,0,0.029437831074220898
