,Cycle,True RUL,Predicted RUL
2,3,99,97.79
9,10,92,89.8
12,13,89,79.45666666666666
15,16,86,86.59666666666666
16,17,85,84.08
18,19,83,82.47
19,20,82,83.93333333333334
24,25,77,79.99666666666667
29,30,72,72.58
30,31,71,72.81333333333333
31,32,70,72.04333333333334
42,43,59,57.303333333333335
45,46,56,52.056666666666665
51,52,50,57.00333333333333
55,56,46,47.64
56,57,45,44.983333333333334
60,61,41,41.09
68,69,33,31.22
69,70,32,30.253333333333334
75,76,26,23.533333333333335
76,77,25,17.936666666666667
82,83,19,14.68
85,86,16,10.82
90,91,11,15.473333333333333
93,94,8,15.996666666666666
98,99,3,6.24
105,106,0,4.79
108,109,0,0.016666666666666666
109,110,0,0.15333333333333332
111,112,0,0.0
114,115,0,0.0
119,120,0,0.04666666666666667
133,134,0,1.14
134,135,0,1.14
136,137,0,0.02666666666666667
137,138,0,0.0
142,143,0,0.01
148,149,0,0.0
152,153,0,0.0
156,157,0,0.0
161,162,0,0.0
164,165,0,0.0033333333333333335
