,Cycle,True RUL,Predicted RUL
560,57,76,92.39169585837568
587,84,49,45.454276253375184
523,20,113,113.25448043915384
535,32,101,102.1535818047147
580,77,56,55.46796415546825
621,118,15,16.615237228203757
559,56,77,93.92741503171445
632,129,4,15.484917797697713
568,65,68,65.67761885023745
530,27,106,103.63333085200011
548,45,88,74.92067332710825
531,28,105,102.2698763212346
551,48,85,88.99500413488379
508,5,128,124.31907422058926
602,99,34,41.23884410470213
605,102,31,20.107710775759674
540,37,96,94.38806440439048
585,82,51,51.978670346634615
544,41,92,96.30307505658241
566,63,70,68.18451140168531
522,19,114,111.99166911656205
514,11,122,124.92123208944106
546,43,90,94.80489706749994
515,12,121,124.88722097494127
612,109,24,38.74065815355253
569,66,67,65.69854793915613
631,128,5,12.8815614736155
599,96,37,31.694363303374175
600,97,36,27.214548525713425
504,1,132,121.75513070102411
516,13,120,118.90656594553978
630,127,6,9.845221604732757
574,71,62,65.72947960552656
